date,epo
1948-01-01,
1948-02-01,
1948-03-01,
1948-04-01,
1948-05-01,
1948-06-01,
1948-07-01,
1948-08-01,
1948-09-01,
1948-10-01,
1948-11-01,
1948-12-01,
1949-01-01,
1949-02-01,
1949-03-01,
1949-04-01,
1949-05-01,
1949-06-01,
1949-07-01,
1949-08-01,
1949-09-01,
1949-10-01,
1949-11-01,
1949-12-01,
1950-01-01,0.91
1950-02-01,-1.13
1950-03-01,-0.02
1950-04-01,-1.87
1950-05-01,-0.98
1950-06-01,-0.47
1950-07-01,1.38
1950-08-01,1.87
1950-09-01,0.98
1950-10-01,-0.88
1950-11-01,-0.39
1950-12-01,
1951-01-01,-0.81
1951-02-01,-1.32
1951-03-01,0.2
1951-04-01,0.02
1951-05-01,-0.04
1951-06-01,-0.62
1951-07-01,0.98
1951-08-01,0.41
1951-09-01,1.42
1951-10-01,-0.11
1951-11-01,0.62
1951-12-01,
1952-01-01,1.59
1952-02-01,-1.09
1952-03-01,-2.13
1952-04-01,-2.44
1952-05-01,0.06
1952-06-01,-0.25
1952-07-01,1.3
1952-08-01,1.35
1952-09-01,0.35
1952-10-01,1.1
1952-11-01,-0.62
1952-12-01,
1953-01-01,0.24
1953-02-01,-1.51
1953-03-01,-2.29
1953-04-01,-0.07
1953-05-01,-0.63
1953-06-01,3.88
1953-07-01,0.99
1953-08-01,-0.54
1953-09-01,0.12
1953-10-01,-0.52
1953-11-01,-2.15
1953-12-01,
1954-01-01,0.6
1954-02-01,-1.75
1954-03-01,1.51
1954-04-01,0.08
1954-05-01,0.2
1954-06-01,-1.64
1954-07-01,-1.79
1954-08-01,0.83
1954-09-01,0.31
1954-10-01,-0.53
1954-11-01,-0.48
1954-12-01,
1955-01-01,-1.32
1955-02-01,-1.71
1955-03-01,-0.13
1955-04-01,-1.35
1955-05-01,-1.61
1955-06-01,-2.84
1955-07-01,-1.49
1955-08-01,0.61
1955-09-01,-0.15
1955-10-01,-1.09
1955-11-01,-0.37
1955-12-01,
1956-01-01,-0.39
1956-02-01,-1.99
1956-03-01,-1.13
1956-04-01,0.29
1956-05-01,-0.05
1956-06-01,-1.95
1956-07-01,0.48
1956-08-01,1.92
1956-09-01,0.98
1956-10-01,-1.43
1956-11-01,-0.82
1956-12-01,
1957-01-01,1.42
1957-02-01,-0.98
1957-03-01,-0.56
1957-04-01,0.26
1957-05-01,0.85
1957-06-01,1.71
1957-07-01,-1.03
1957-08-01,0.49
1957-09-01,1.78
1957-10-01,0.84
1957-11-01,0.6
1957-12-01,
1958-01-01,-0.38
1958-02-01,0.13
1958-03-01,0.45
1958-04-01,0.73
1958-05-01,0.11
1958-06-01,3.0
1958-07-01,1.51
1958-08-01,0.14
1958-09-01,-0.13
1958-10-01,-0.29
1958-11-01,0.73
1958-12-01,
1959-01-01,1.62
1959-02-01,0.04
1959-03-01,-2.03
1959-04-01,0.22
1959-05-01,0.3
1959-06-01,1.19
1959-07-01,-0.14
1959-08-01,0.34
1959-09-01,-0.43
1959-10-01,1.03
1959-11-01,1.43
1959-12-01,
1960-01-01,-0.76
1960-02-01,0.52
1960-03-01,0.12
1960-04-01,-0.39
1960-05-01,-0.74
1960-06-01,-0.71
1960-07-01,0.65
1960-08-01,-0.08
1960-09-01,0.02
1960-10-01,0.38
1960-11-01,-0.4
1960-12-01,
1961-01-01,1.09
1961-02-01,-1.5
1961-03-01,-1.47
1961-04-01,0.6
1961-05-01,0.26
1961-06-01,-0.61
1961-07-01,-0.76
1961-08-01,0.31
1961-09-01,-0.91
1961-10-01,-0.75
1961-11-01,-1.92
1961-12-01,
1962-01-01,0.74
1962-02-01,1.66
1962-03-01,0.25
1962-04-01,0.56
1962-05-01,0.26
1962-06-01,0.26
1962-07-01,0.16
1962-08-01,-0.22
1962-09-01,-0.15
1962-10-01,0.1
1962-11-01,-0.5
1962-12-01,
1963-01-01,1.0
1963-02-01,1.07
1963-03-01,-1.31
1963-04-01,-0.25
1963-05-01,0.57
1963-06-01,-2.46
1963-07-01,-1.71
1963-08-01,1.74
1963-09-01,1.02
1963-10-01,-1.47
1963-11-01,-0.95
1963-12-01,
1964-01-01,-1.95
1964-02-01,-2.52
1964-03-01,-1.39
1964-04-01,-2.03
1964-05-01,0.33
1964-06-01,1.9
1964-07-01,-2.58
1964-08-01,0.78
1964-09-01,0.16
1964-10-01,0.17
1964-11-01,-0.74
1964-12-01,
1965-01-01,0.6
1965-02-01,-0.93
1965-03-01,2.23
1965-04-01,1.02
1965-05-01,0.07
1965-06-01,-1.56
1965-07-01,0.75
1965-08-01,2.32
1965-09-01,2.26
1965-10-01,0.85
1965-11-01,0.21
1965-12-01,
1966-01-01,-0.36
1966-02-01,-0.55
1966-03-01,-0.94
1966-04-01,1.96
1966-05-01,-0.67
1966-06-01,0.23
1966-07-01,-0.57
1966-08-01,0.63
1966-09-01,1.58
1966-10-01,0.46
1966-11-01,0.74
1966-12-01,
1967-01-01,-0.22
1967-02-01,-0.56
1967-03-01,0.87
1967-04-01,0.14
1967-05-01,2.02
1967-06-01,0.88
1967-07-01,-0.12
1967-08-01,1.1
1967-09-01,0.35
1967-10-01,-0.24
1967-11-01,-0.03
1967-12-01,
1968-01-01,-0.24
1968-02-01,-0.65
1968-03-01,0.05
1968-04-01,-2.88
1968-05-01,1.07
1968-06-01,-0.73
1968-07-01,1.71
1968-08-01,0.75
1968-09-01,-0.91
1968-10-01,-0.33
1968-11-01,-0.16
1968-12-01,
1969-01-01,0.6
1969-02-01,-0.58
1969-03-01,-0.02
1969-04-01,0.32
1969-05-01,1.0
1969-06-01,3.19
1969-07-01,-1.13
1969-08-01,-0.14
1969-09-01,0.09
