date,NTA_ersst
1950-01-01,
1950-02-01,-0.49
1950-03-01,-0.49
1950-04-01,-0.46
1950-05-01,-0.35
1950-06-01,-0.42
1950-07-01,-0.41
1950-08-01,-0.47
1950-09-01,-0.5
1950-10-01,-0.45
1950-11-01,-0.29
1950-12-01,-0.09
1951-01-01,-0.08
1951-02-01,-0.12
1951-03-01,-0.08
1951-04-01,0.03
1951-05-01,0.08
1951-06-01,0.03
1951-07-01,-0.05
1951-08-01,-0.12
1951-09-01,-0.22
1951-10-01,-0.27
1951-11-01,-0.35
1951-12-01,-0.41
1952-01-01,-0.42
1952-02-01,-0.35
1952-03-01,-0.24
1952-04-01,-0.2
1952-05-01,-0.12
1952-06-01,-0.11
1952-07-01,-0.15
1952-08-01,-0.21
1952-09-01,-0.22
1952-10-01,-0.12
1952-11-01,0.0
1952-12-01,0.17
1953-01-01,0.23
1953-02-01,0.01
1953-03-01,-0.11
1953-04-01,-0.17
1953-05-01,-0.03
1953-06-01,-0.03
1953-07-01,-0.03
1953-08-01,-0.08
1953-09-01,-0.1
1953-10-01,-0.09
1953-11-01,-0.06
1953-12-01,-0.05
1954-01-01,-0.17
1954-02-01,-0.33
1954-03-01,-0.46
1954-04-01,-0.38
1954-05-01,-0.31
1954-06-01,-0.31
1954-07-01,-0.46
1954-08-01,-0.56
1954-09-01,-0.61
1954-10-01,-0.57
1954-11-01,-0.58
1954-12-01,-0.41
1955-01-01,-0.33
1955-02-01,-0.25
1955-03-01,-0.25
1955-04-01,-0.26
1955-05-01,-0.25
1955-06-01,-0.25
1955-07-01,-0.2
1955-08-01,-0.14
1955-09-01,-0.12
1955-10-01,-0.06
1955-11-01,0.0
1955-12-01,0.11
1956-01-01,0.09
1956-02-01,-0.06
1956-03-01,-0.19
1956-04-01,-0.34
1956-05-01,-0.43
1956-06-01,-0.54
1956-07-01,-0.6
1956-08-01,-0.62
1956-09-01,-0.54
1956-10-01,-0.41
1956-11-01,-0.23
1956-12-01,-0.28
1957-01-01,-0.43
1957-02-01,-0.58
1957-03-01,-0.57
